,CompositeScore,WinRate,CI_Low,CI_High
Gerhard Ludwig Müller,0.16887391065704688,0.004285714285714286,0.0039489056874702395,0.004651550004716879
Giuseppe Betori,0.16482799563288142,0.004135338345864661,0.003804717576948004,0.004494994976336969
Kurt Koch,0.16320854718513733,0.004015037593984963,0.003689449401842045,0.004369668636810086
Thomas Collins,0.1481017888623591,0.003518796992481203,0.003214820232081875,0.0038518453935398257
Philippe Barbarin,0.14509071870818094,0.0037969924812030075,0.003480723866708552,0.004142316605194142
Wim Eijk,0.14403439753386887,0.003556390977443609,0.003250725209482429,0.0038911262076370763
James Michael Harvey,0.14316506167405574,0.0035112781954887216,0.0032076403264968125,0.0038439881407661284
Robert Sarah,0.1430706842111799,0.003586466165413534,0.0032794556621749036,0.0039225443877951155
Fernando Filoni,0.13874530777921615,0.0035639097744360904,0.0032579072868228255,0.0038989812885379207
Dominique Mamberti,0.13455257983382732,0.003233082706766917,0.0029422515021348054,0.0035530020905986046
Raymond Leo Burke,0.13184534524967761,0.003443609022556391,0.003143037788496824,0.00377325625262043
Péter Erdő,0.12939745213565285,0.00318796992481203,0.002899267064673531,0.00350576357234399
Pietro Parolin,0.12332551870054455,0.0027969924812030074,0.002527410104070252,0.0030956882047533897
Emil Paul Tscherrig,0.09081462572037485,0.00237593984962406,0.0021285215869245168,0.0026524956294672023
Mykola Bychok CSsR,0.0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Stanisław Ryłko,0.0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Kazimierz Nycz,0.0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Vinko Puljić,0.0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Frank Leo,0.0,0.0,1.9035800914704428e-07,2.773534257418946e-05
Josip Bozanić,0.0,0.0,1.9035800914704428e-07,2.773534257418946e-05
